"CTRL_0"	"CTRL_1"	"CTRL_2"	"CTRL_3"	"CTRL_4"	"CTRL_5"	"CTRL_6"	"CTRL_7"	"CTRL_8"	"LUTS_0"	"LUTS_1"	"LUTS_2"	"LUTS_3"	"LUTS_4"	"LUTS_5"	"LUTS_6"	"LUTS_7"	"LUTS_8"
"A1BG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212403	0	0	0
"A1BG-AS1"	0	0	0	0	0	0	0	7.14763	0	0	0	0	0	0	22.7271	0	14.9598	0
"A1CF"	0.747955	415.118	0	0	0	0	0	0	84.2029	0	0	0	0	34.6153	1.48682	1.39289	22.4397	20.1034
"A2M"	1528.82	2628.85	0	1822.81	9870.74	1050.92	1473.34	3078.1	6705.21	3796.59	1052.94	1021.8	703.598	1268.01	7780.52	3.48224	2403.18	1825.75
"A2M-AS1"	0	0	0	0	0	0	0	0	0	2.34575	0	0	0	0	3.39844	0	35.2623	0
"A2ML1"	3952.94	5311.69	1301.72	922.815	2542.81	0.896693	6893.44	9095.57	15035.4	1015.71	3345.38	10230.9	12265.6	17945.3	415.459	29502.9	4206.9	5.48275
"A2MP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A3GALT2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A4GALT"	257.297	77.1335	2186.1	148.732	108.225	0	1475.29	318.7	166.19	0.586436	151.499	1.43713	19.9602	0	74.1285	1645.7	330.184	9.13791
"A4GNT"	0	0	0	0	0	0	0	1.26135	0	0	0	0	0	0	0	0	0	0
"AA06"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AAAS"	0	230.699	0	52.3943	378.789	217	0	153.884	21.42	446.278	0	1744.67	0	573.886	223.447	45.2691	285.304	0
"AACS"	53.8528	49.0849	0	319.436	93.2478	0.896693	2778.21	156.407	1.47724	424.58	264.719	2.87425	0	0	208.367	91.931	40.6051	56.6551
"AACSP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADAC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADACL2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADACL2-AS1"	0	0	0	0	0	0	0	1.26135	0	0	0.539142	0	0	1.82186	1.27442	0	0	0
"AADACL3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADACL4"	0	0	0	0	14.4945	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADACP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADAT"	0	0	0	21.9718	0	2.69008	0	23.1247	8.12484	0	1.61743	2.87425	0	0	0	0	0	0
"AAED1"	0	0	0	175.774	143.495	51.1115	0	21.8633	0.738622	180.036	0	0	0	0	46.7286	64.0731	103.65	0
"AAGAB"	583.405	765.725	288.168	590.703	451.261	546.983	3095.67	589.049	257.779	1164.08	905.759	0	102.296	58.2995	532.493	836.433	832.405	0
"AAK1"	365.002	3398.78	4177.44	1718.87	1155.21	1167.49	3136.57	1620.41	4365.99	1241.49	1055.64	1118.08	2053.41	3734.81	1760.18	1893.64	2256.79	1.82758
"AAMDC"	66.568	1.40243	2359	94.6477	34.7867	170.372	2391.62	104.271	1.47724	0.586436	9.16542	2.87425	0	0	55.2247	43.8762	141.049	0
"AAMP"	366.498	1433.28	176.875	471.548	500.543	738.875	0	442.732	628.567	903.698	428.079	505.868	1634.24	1011.13	442.647	531.389	974.522	47.5171
"AANAT"	0	0	0	4.22534	0	0	0	0	0	2.93218	0	0	0	0	0.84961	0	0	0
"AAR2"	41.1375	0	0	0	16.4271	42.1446	45.768	56.7606	87.1574	31.6676	229.675	0	2.49503	0	79.2261	73.8234	69.4561	0
"AARD"	0	4.20728	27.8231	0	2.8989	1.79339	3.89515	3.78404	1.47724	1.17287	1.07828	0	2.49503	40.0809	0.637208	1.39289	0	1.82758
"AARS"	1070.32	991.516	61.6082	623.661	2000.72	720.045	1636.94	643.707	655.896	1649.06	582.274	1.43713	219.562	2889.47	1102.16	311.312	783.251	1586.34
"AARS2"	8.97546	168.291	9.93681	64.2252	147.844	360.471	23.3709	84.9306	168.406	578.226	26.9571	0	376.749	0	66.6944	91.931	186.997	0
"AARSD1"	0.000602058	267.863	0	0	223.698	0	544.347	144.214	22.1587	224.605	24.1233	0	0	1883.8	91.7579	1.63389e-56	177.38	0
"AASDH"	293.198	227.193	1.98736	321.126	136.731	138.091	0	93.7601	2.21587	107.318	0	643.833	0	0	98.7672	31.3401	11.7541	0
"AASDHPPT"	267.768	611.458	1.98736	189.295	311.148	303.979	0	412.881	197.951	565.911	78.1756	0	0	0	214.951	164.362	240.425	0
"AASS"	3.73977	182.315	1156.65	10.1408	69.5735	7.17355	104.195	177.009	205.337	2.93218	54.4534	1327.9	414.175	1513.97	52.251	181.076	540.689	49.3447
"AATBC"	3.73977	0	1013.56	34.6478	186.496	341.64	0	61.3855	0	158.924	320.79	745.869	374.254	0	52.251	195.005	66.2504	0
"AATF"	1485.44	366.033	4865.06	1721.41	1083.7	1973.62	3367.35	660.104	506.694	847.4	1684.28	2096.77	2178.16	502.833	1310.1	576.658	850.57	2076.13
"AATK"	453.261	243.321	2370.92	260.281	153.158	125.537	1211.39	208.963	253.347	1.17287	1607.72	561.916	264.473	1677.93	196.26	432.494	205.163	0
"AATK-AS1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABALON"	18.6989	1253.09	1051.34	535.774	615.052	914.307	1711.96	539.019	600.499	290.286	254.475	4026.83	945.615	0	704.587	1117.1	669.984	9.13791
"ABAT"	349.295	288.9	771.097	860.28	427.104	108.5	98.3525	404.472	1025.21	377.079	59.8448	3403.11	97.3061	422.672	266.99	2815.74	362.24	0
"ABCA1"	10935.1	5653.18	21686.1	12473.2	14954.4	7704.39	6008.26	10577.6	17209.1	2946.26	10404.4	6582.04	5953.13	6469.43	20316.7	11441.2	8455.48	14012.1
"ABCA10"	0	0	0	2.53521	0	0	0	3.78404	0	0	0	0	0	0	21.2403	0	0	0
"ABCA11P"	360.514	0	0	0	0	0	0	0	0	0	107.828	0	0	0	5.31006	0	45.9479	0
"ABCA12"	18.6989	452.283	0	4.22534	265.732	0	426.519	226.201	483.059	0	316.476	159.521	234.533	2331.98	74.7657	1240.37	236.151	0
"ABCA13"	2.99182	5.60971	15.8989	0.845069	28.989	3.58677	0	35.3177	5.17035	2.34575	93.2716	924.072	4.99005	5.46558	1.69922	102.378	585.568	5.48275
"ABCA17P"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCA2"	4.48773	0	0	214.648	67.1577	0	0	84.9306	177.269	14.6609	156.351	1.43713	0	0	147.407	18.8041	131.432	0
"ABCA3"	278.987	0	0	16.9014	0	1.79339	0	2.94314	174.315	0	0	0	516.471	0	64.5704	0	18.1654	0
"ABCA4"	0.747955	37.8655	0	0	0	0	643.673	0.840897	0	0	0	0	0	1818.22	35.2588	0	56.6334	0
"ABCA5"	440.545	467.709	0	74.3661	104.36	0.896693	906.595	481.834	1532.64	128.43	512.185	2.87425	945.615	0	260.618	657.446	433.833	0
"ABCA6"	0	0	0	121.69	52.6633	127.33	0	59.7037	0	55.125	0	0	0	0	0	0	7.47989	0
"ABCA7"	311.897	344.296	1556.11	817.182	3.38204	398.132	0	232.929	138.861	299.083	294.911	99.1617	214.572	1198.78	177.356	555.765	317.361	131.586
"ABCA8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.637208	0	4.27422	0
"ABCA9"	2.24386	0	0	10.9859	57.0116	5.38016	0	59.2833	131.475	5.27793	115.376	61.7964	29.9403	1.82186	10.8325	1.39289	5.34278	0
"ABCA9-AS1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212403	0	0	0
"ABCB1"	0	911.577	0	72.6759	247.372	0	2142.33	125.294	28.8062	202.907	50.1402	0	4.99005	0	48.003	167.844	471.233	0
"ABCB10"	7.47955	0.701213	0	98.8731	16.4271	37.6611	0	172.804	313.176	153.06	0	0	34.9304	0	148.257	0	152.803	0
"ABCB11"	0	0	0	0	0	0	0	15.1362	0	0	0	0	0	0	0	0	0	0
"ABCB4"	0	13.3231	0	73.521	32.8541	13.4504	0	0.840897	0	2.34575	0	0	0	0	34.6216	0	6.41133	0
"ABCB5"	2.99182	46.9813	3.97473	2.53521	1.44945	1.79339	3.89515	51.2947	5.90897	29.3218	4.85228	1.43713	2.49503	14.5749	59.6851	5.57158	30.9881	7.31033
"ABCB6"	0	0	0	0	28.989	0	0	0	168.406	76.8232	0	0	7.48508	0	56.0743	70.3412	0	0
"ABCB7"	15.7071	282.589	1.98736	10.9859	459.958	128.227	0	175.327	56.8739	55.125	300.302	0	2.49503	0	329.224	397.671	151.735	760.274
"ABCB8"	622.299	7.71335	0	86.197	44.9329	0.896693	0	23.9656	104.146	0	170.908	819.162	0	0	59.2603	0	83.3473	0
"ABCB9"	0	0	0	0	0	0	0	36.9995	0	0	13.4786	0	0	0	1.91162	0	1.06856	0
"ABCC1"	1602.87	1040.6	3909.14	1350.42	853.241	142.574	50.6369	970.395	671.407	419.888	1450.29	385.15	548.906	7.28744	1100.67	817.629	640.065	0
"ABCC10"	0	627.586	17.8863	272.957	327.092	923.594	0	213.167	213.462	451.556	220.509	643.833	24.9503	1266.19	376.59	129.539	167.763	0
"ABCC11"	0	269.266	0	0	0	0	0	0	0	0	1.61743	0	0	0	0	0	0	0
"ABCC12"	0	0	0	0	0	0	0	0	1.47724	0	0	0	0	0	0	0	0	0
"ABCC13"	0	0	1.98736	4.22534	0	0	0	0.840897	0.738622	0	0	0	0	0	0	0.696447	0	0
"ABCC2"	0	0	0	0	6.76409	0	0	13.8748	16.2497	1.75931	43.6705	0	0	0	7.43409	0	90.8272	0
"ABCC3"	57.5925	6.31092	107.318	698.027	805.893	726.322	1542.48	347.291	316.869	541.281	577.96	0	1162.68	0	1075.82	387.225	192.34	0
"ABCC4"	165.298	397.588	0	221.408	247.372	394.545	1544.43	324.586	59.8284	275.039	129.933	0	247.008	18.2186	381.9	201.97	198.751	1308.55
"ABCC5"	652.965	200.547	3054.58	450.422	932.478	1784.42	4017.84	487.72	2206.26	79.1689	316.476	0	129.741	1667	1258.49	88.4488	381.474	1401.76
"ABCC5-AS1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCC6"	5.23568	60.3043	0	16.9014	1.44945	0	5.84272	12.6135	0.738622	0	0	0	0	0	2.76123	0	26.7139	1.82758
"ABCC6P1"	0	5.60971	1.98736	0	0	0	439.178	0	0	0	0	0	0	0	1.69922	0	3.20567	0
"ABCC6P2"	1.49591	63.8104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13711	0
"ABCC8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCC9"	1290.22	3305.52	3370.57	1749.29	1625.8	3519.52	4227.21	2081.64	2960.4	2273.03	3687.73	4032.58	2926.67	4713.15	1385.93	2584.52	2621.17	10377
"ABCD1"	986.553	76.4323	0	283.098	334.339	281.562	0	252.269	155.849	32.254	349.903	349.222	643.717	0	306.072	215.899	422.079	0
"ABCD2"	0	0	0	0	0	0	0	0	0	97.9349	0	0	0	0	20.1782	0	0	822.412
"ABCD3"	638.006	867.401	433.245	402.253	557.554	217	2325.4	785.819	1352.42	531.311	744.555	718.563	1444.62	4336.03	698.167	2035.02	566.334	1822.1
"ABCD4"	2.99182	89.7553	0	48.1689	38.6519	23.314	0	298.519	293.233	271.52	158.508	169.581	182.137	7.28744	151.655	105.86	125.021	0
"ABCE1"	439.05	259.449	0	402.253	940.691	652.793	0	225.781	569.477	643.321	85.7236	0	0	0	527.82	0.696447	174.174	0
"ABCF1"	522.073	435.453	2086.73	1497.46	1603.57	1047.34	5097.77	1674.23	892.255	1087.25	1806.13	1445.75	239.523	408.097	1345.57	1226.44	1206.4	5859.23
"ABCF2"	5.23568	0.701213	0	381.971	168.619	555.053	0	121.089	124.088	318.435	111.063	0	199.602	0	244.475	82.8772	207.3	0
"ABCF3"	918.489	263.656	959.896	1112.96	400.048	116.57	10.7117	256.474	491.922	280.903	477.68	50.2994	69.8608	2758.3	358.323	517.46	471.233	16.4482
"ABCG1"	2439.08	2177.27	451.131	2042.53	3312.95	1756.62	612.512	1464	3746.29	1265.53	4231.19	1760.48	4244.04	1810.93	3173.29	4450.99	2001.4	1200.72
"ABCG2"	0	0	0	19.4366	13.5282	0	0	49.6129	0	0	0	0	0	0	399.529	0	16.0283	0
"ABCG4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCG5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
