"genes"	"logFC"	"p_value"	"q_value"
"1"	"A1BG"	768.314	1	1
"2"	"A1BG-AS1"	2.18848	1	1
"3"	"A1CF"	-2.50116	1	1
"4"	"A2M"	-0.494886	0.36735	0.99948
"5"	"A2M-AS1"	768.314	1	1
"6"	"A2ML1"	0.731965	0.20445	0.961342
"7"	"A2MP1"	0	1	1
"8"	"A3GALT2"	0	1	1
"9"	"A4GALT"	-0.892046	0.42115	0.99948
"10"	"A4GNT"	-797.519	1	1
"11"	"AA06"	0	1	1
"12"	"AAAS"	1.55677	0.2075	0.963093
"13"	"AACS"	-1.74753	0.08395	0.712886
"14"	"AACSP1"	0	1	1
"15"	"AADAC"	0	1	1
"16"	"AADACL2"	0	1	1
"17"	"AADACL2-AS1"	1.47808	1	1
"18"	"AADACL3"	0	1	1
"19"	"AADACL4"	-797.519	1	1
"20"	"AADACP1"	0	1	1
"21"	"AADAT"	-3.6638	1	1
"22"	"AAED1"	0.0132147	0.9854	0.99948
"23"	"AAGAB"	-0.814618	0.6428	0.99948
"24"	"AAK1"	-0.604442	0.29045	0.99948
"25"	"AAMDC"	-4.20617	0.0053	0.127969
"26"	"AAMP"	0.325556	0.8575	0.99948
"27"	"AANAT"	-0.0780809	1	1
"28"	"AAR2"	0.65885	0.54805	0.99948
"29"	"AARD"	0.222323	1	1
"30"	"AARS"	0.0767263	0.82555	0.99948
"31"	"AARS2"	0.283808	0.7715	0.99948
"32"	"AARSD1"	0.991929	0.56065	0.99948
"33"	"AASDH"	-0.430682	0.68845	0.99948
"34"	"AASDHPPT"	-0.87336	0.4935	0.99948
"35"	"AASS"	0.839126	0.46645	0.99948
"36"	"AATBC"	0.55042	0.578	0.99948
"37"	"AATF"	-0.36223	0.49945	0.99948
"38"	"AATK"	0.187083	0.89255	0.99948
"39"	"AATK-AS1"	0	1	1
"40"	"ABALON"	0.043474	0.97995	0.99948
"41"	"ABAT"	0.798414	0.61575	0.99948
"42"	"ABCA1"	-0.318782	0.4301	0.99948
"43"	"ABCA10"	1.94073	1	1
"44"	"ABCA11P"	-1.08891	0.71045	0.99948
"45"	"ABCA12"	1.2264	0.32045	0.99948
"46"	"ABCA13"	4.04291	1	1
"47"	"ABCA17P"	0	1	1
"48"	"ABCA2"	-0.178558	0.9045	0.99948
"49"	"ABCA3"	-0.0127249	0.98755	0.99948
"50"	"ABCA4"	1.43679	0.0894	0.732535
"51"	"ABCA5"	-0.46538	0.69635	0.99948
"52"	"ABCA6"	-2.58958	1	1
"53"	"ABCA7"	0.0274409	0.98285	0.99948
"54"	"ABCA8"	768.314	1	1
"55"	"ABCA9"	-0.295608	1	1
"56"	"ABCA9-AS1"	768.314	1	1
"57"	"ABCB1"	-1.99499	0.18245	0.93628
"58"	"ABCB10"	-0.43021	0.61455	0.99948
"59"	"ABCB11"	-797.519	1	1
"60"	"ABCB4"	-1.61555	1	1
"61"	"ABCB5"	0.4077	1	1
"62"	"ABCB6"	0.129943	1	1
"63"	"ABCB7"	0.943838	0.2833	0.99948
"64"	"ABCB8"	0.152654	0.8984	0.99948
"65"	"ABCB9"	-1.31629	1	1
"66"	"ABCC1"	-0.92498	0.6535	0.99948
"67"	"ABCC10"	0.381778	0.76735	0.99948
"68"	"ABCC11"	-7.47137	1	1
"69"	"ABCC12"	-797.519	1	1
"70"	"ABCC13"	-3.7435	1	1
"71"	"ABCC2"	1.935	1	1
"72"	"ABCC3"	-0.0343657	0.98025	0.99948
"73"	"ABCC4"	-0.247468	0.8144	0.99948
"74"	"ABCC5"	-1.81548	0.0889	0.730089
"75"	"ABCC5-AS1"	0	1	1
"76"	"ABCC6"	-3.59102	0.1536	0.883305
"77"	"ABCC6P1"	-6.53242	0.02215	0.341006
"78"	"ABCC6P2"	-4.9833	0.13025	0.83493
"79"	"ABCC8"	0	1	1
"80"	"ABCC9"	0.541332	0.37925	0.99948
"81"	"ABCD1"	-0.29494	0.80435	0.99948
"82"	"ABCD2"	768.314	5e-05	0.00458449
"83"	"ABCD3"	0.299205	0.7455	0.99948
"84"	"ABCD4"	0.451237	0.65325	0.99948
"85"	"ABCE1"	-1.29812	0.34675	0.99948
"86"	"ABCF1"	0.0177551	0.9783	0.99948
"87"	"ABCF2"	-0.0344422	0.9727	0.99948
"88"	"ABCF3"	0.238059	0.87305	0.99948
"89"	"ABCG1"	0.349954	0.6084	0.99948
"90"	"ABCG2"	2.31085	1	1
"91"	"ABCG4"	0	1	1
"92"	"ABCG5"	0	1	1
"93"	"ABCG8"	768.314	1	1
"94"	"ABHD1"	-5.83225	1	1
"95"	"ABHD10"	1.68034	0.14015	0.856689
"96"	"ABHD11"	-1.59161	0.10785	0.789501
"97"	"ABHD11-AS1"	768.314	5e-05	0.00458449
"98"	"ABHD12"	-0.0879339	0.93395	0.99948
"99"	"ABHD12B"	2.12198	0.31515	0.99948
"100"	"ABHD13"	-1.30048	0.4917	0.99948
"101"	"ABHD14A"	2.43659	0.44645	0.99948
"102"	"ABHD14A-ACY1"	-2.65898	1	1
"103"	"ABHD14B"	-0.287913	0.78875	0.99948
"104"	"ABHD15"	2.01855	0.03925	0.48434
"105"	"ABHD16A"	-0.634045	0.64505	0.99948
"106"	"ABHD16B"	1.3675	0.09055	0.736965
"107"	"ABHD17A"	-1.35542	0.22725	0.983277
"108"	"ABHD17B"	-0.175127	0.87265	0.99948
"109"	"ABHD17C"	-1.78723	0.2721	0.99948
"110"	"ABHD2"	-0.111526	0.8225	0.99948
"111"	"ABHD3"	-1.19211	0.25475	0.996738
"112"	"ABHD4"	1.26518	0.37425	0.99948
"113"	"ABHD5"	-0.189734	0.7255	0.99948
"114"	"ABHD6"	-2.45458	0.00575	0.136782
"115"	"ABHD8"	2.90591	0.00235	0.0721281
"116"	"ABI1"	0.227882	0.71135	0.99948
"117"	"ABI2"	0.937778	0.35815	0.99948
"118"	"ABI3"	-0.500075	0.6739	0.99948
"119"	"ABI3BP"	-1.30027	1	1
"120"	"ABL1"	0.57494	0.7218	0.99948
"121"	"ABL2"	-1.10017	0.1707	0.923957
"122"	"ABLIM1"	0.653077	0.36795	0.99948
"123"	"ABLIM2"	2.49344	0.0462	0.530348
"124"	"ABLIM3"	0.450788	0.6971	0.99948
"125"	"ABO"	-1.2239	0.1785	0.931195
"126"	"ABR"	-0.15384	0.84255	0.99948
"127"	"ABRA"	0	1	1
"128"	"ABRACL"	0.776256	0.55135	0.99948
"129"	"ABT1"	0.203567	0.802	0.99948
"130"	"ABTB1"	0.342079	0.6409	0.99948
"131"	"ABTB2"	0.439073	0.40845	0.99948
