"entrezids"	"logFC"	"pvalue"	"qvalue"
"225"	768.314	5e-05	0.00458449
"171022"	768.314	5e-05	0.00458449
"54988"	3.51898	0.00025	0.015028
"213"	4.97263	2e-04	0.0131104
"279"	2.94173	0.001	0.0408085
"284615"	7.00122	5e-05	0.00458449
"338440"	3.53841	0.00125	0.0472813
"11199"	768.314	5e-05	0.00458449
"89839"	3.96166	0.00015	0.0107577
"92270"	3.24716	0.00105	0.0421367
"90423"	11.0047	5e-05	0.00458449
"53630"	768.314	5e-05	0.00458449
"92747"	4.32843	0.001	0.0408085
"696"	3.00566	8e-04	0.0355509
"388327"	768.314	5e-05	0.00458449
"100128569"	768.314	5e-05	0.00458449
"84226"	3.85912	1e-04	0.00770585
"388963"	4.77814	5e-05	0.00458449
"783"	4.69819	3e-04	0.0171106
"844"	3.65031	0.00125	0.0472813
"23624"	768.314	9e-04	0.0380125
"646019"	768.314	5e-05	0.00458449
"80071"	4.79941	5e-05	0.00458449
"347475"	768.314	5e-05	0.00458449
"51032"	768.314	5e-05	0.00458449
"3078"	768.314	5e-05	0.00458449
"8208"	2.85697	0.00125	0.0472813
"152100"	4.22766	1e-04	0.00770585
"51805"	5.70338	0.00055	0.0265595
"9946"	3.60891	0.0011	0.0434215
"1437"	768.314	5e-05	0.00458449
"203413"	768.314	5e-05	0.00458449
"11330"	768.314	5e-05	0.00458449
"83992"	4.23456	0.001	0.0408085
"1548"	3.53863	0.00085	0.0368681
"149069"	3.57387	0.00035	0.0192063
"123099"	3.71833	0.00085	0.0368681
"414918"	3.45547	0.00025	0.015028
"2016"	768.314	5e-05	0.00458449
"5167"	4.61259	2e-04	0.0131104
"104644205"	4.17256	0.0011	0.0434215
"150350"	3.36467	0.00065	0.0300848
"85002"	768.314	6e-04	0.028499
"2205"	3.48398	0.00095	0.0397764
"400999"	768.314	5e-05	0.00458449
"27023"	768.314	5e-05	0.00458449
"200504"	768.314	5e-05	0.00458449
"127845"	768.314	5e-05	0.00458449
"80045"	5.70181	3e-04	0.0171106
"2827"	768.314	5e-05	0.00458449
"9721"	768.314	5e-05	0.00458449
"84705"	4.05311	1e-04	0.00770585
"3001"	5.04869	2e-04	0.0131104
"3002"	3.88767	5e-05	0.00458449
"3039"	8.59246	5e-05	0.00458449
"3040"	8.84382	5e-05	0.00458449
"3043"	4.75841	0.00035	0.0192063
"3199"	3.65397	0.00015	0.0107577
"3294"	768.314	5e-05	0.00458449
"169355"	6.54652	1e-04	0.00770585
"3458"	768.314	5e-05	0.00458449
"58985"	4.96899	5e-05	0.00458449
"92856"	3.75279	8e-04	0.0355509
"3653"	5.19158	5e-05	0.00458449
"55600"	768.314	5e-05	0.00458449
"90011"	5.14042	1e-04	0.00770585
"3816"	3.86818	0.00025	0.015028
"3820"	4.39977	5e-05	0.00458449
"3883"	768.314	5e-05	0.00458449
"8689"	3.34932	4e-04	0.0209199
"283455"	5.7299	2e-04	0.0131104
"84648"	768.314	5e-05	0.00458449
"284029"	3.39089	0.00055	0.0265595
"283875"	4.21741	5e-05	0.00458449
"644242"	4.97324	5e-05	0.00458449
"100271702"	5.28133	1e-04	0.00770585
"103724387"	768.314	5e-05	0.00458449
"103352670"	3.18644	0.001	0.0408085
"101927242"	768.314	5e-05	0.00458449
"283416"	3.39721	6e-04	0.028499
"101928770"	768.314	5e-05	0.00458449
"643418"	4.21728	2e-04	0.0131104
"100499489"	4.41473	0.001	0.0408085
"100506403"	768.314	5e-05	0.00458449
"100507002"	768.314	5e-05	0.00458449
"100996583"	4.58511	5e-05	0.00458449
"101927131"	4.6582	1e-04	0.00770585
"101929767"	3.51541	0.00065	0.0300848
"101929897"	768.314	5e-05	0.00458449
"284412"	4.37382	5e-05	0.00458449
"729966"	3.57211	0.00015	0.0107577
"127255"	768.314	5e-05	0.00458449
"129530"	768.314	5e-05	0.00458449
"11178"	4.79123	3e-04	0.0171106
"54996"	3.70782	0.00025	0.015028
"255374"	3.56593	9e-04	0.0380125
"55384"	8.44467	5e-05	0.00458449
"728637"	768.314	5e-05	0.00458449
"730198"	3.60479	0.00025	0.015028
"79006"	3.8211	5e-05	0.00458449
"641515"	3.18144	0.00045	0.0229548
"55034"	5.50449	1e-04	0.00770585
"744"	3.94859	0.00025	0.015028
"117195"	3.83849	2e-04	0.0131104
"4488"	3.56165	0.00105	0.0421367
"51237"	768.314	5e-05	0.00458449
"4674"	3.22254	0.00035	0.0192063
"10"	768.314	5e-05	0.00458449
"122945"	768.314	5e-05	0.00458449
"56953"	768.314	5e-05	0.00458449
"10562"	2.49847	5e-05	0.00458449
"26184"	768.314	5e-05	0.00458449
"26735"	768.314	5e-05	0.00458449
"127623"	3.50596	0.00015	0.0107577
"26212"	768.314	5e-05	0.00458449
"10819"	3.23378	0.00125	0.0472813
"130075"	768.314	5e-05	0.00458449
"64002"	4.1128	5e-05	0.00458449
"654790"	3.70892	1e-04	0.00770585
