"genes"	"logFC"	"p_value"	"q_value"	"entrezids"
"1"	"ABCD2"	768.314	5e-05	0.00458449	"225"
"2"	"ABHD11-AS1"	768.314	5e-05	0.00458449	"171022"
"3"	"ACSM5"	3.51898	0.00025	0.015028	"54988"
"4"	"ALB"	4.97263	2e-04	0.0131104	"213"
"5"	"AMY2A"	2.94173	0.001	0.0408085	"279"
"6"	"ANKRD34A"	7.00122	5e-05	0.00458449	"284615"
"7"	"ANO9"	3.53841	0.00125	0.0472813	"338440"
"8"	"ANXA10"	768.314	5e-05	0.00458449	"11199"
"9"	"ARHGAP11B"	3.96166	0.00015	0.0107577	"89839"
"10"	"ATP6AP1L"	3.24716	0.00105	0.0421367	"92270"
"11"	"ATP6V1E2"	11.0047	5e-05	0.00458449	"90423"
"12"	"BCO1"	768.314	5e-05	0.00458449	"53630"
"13"	"BPIFB1"	4.32843	0.001	0.0408085	"92747"
"14"	"BTN1A1"	3.00566	8e-04	0.0355509	"696"
"16"	"C17orf100"	768.314	5e-05	0.00458449	"388327"
"17"	"C19orf71"	768.314	5e-05	0.00458449	"100128569"
"20"	"C2orf16"	3.85912	1e-04	0.00770585	"84226"
"21"	"C2orf81"	4.77814	5e-05	0.00458449	"388963"
"23"	"CACNB2"	4.69819	3e-04	0.0171106	"783"
"24"	"CASQ1"	3.65031	0.00125	0.0472813	"844"
"25"	"CBLC"	768.314	9e-04	0.0380125	"23624"
"26"	"CBY3"	768.314	5e-05	0.00458449	"646019"
"27"	"CCDC15"	4.79941	5e-05	0.00458449	"80071"
"28"	"CCDC160"	768.314	5e-05	0.00458449	"347475"
"29"	"CELA2B"	768.314	5e-05	0.00458449	"51032"
"30"	"CFHR1"	768.314	5e-05	0.00458449	"3078"
"31"	"CHAF1B"	2.85697	0.00125	0.0472813	"8208"
"32"	"CMC1"	4.22766	1e-04	0.00770585	"152100"
"33"	"COQ3"	5.70338	0.00055	0.0265595	"51805"
"34"	"CRYZL1"	3.60891	0.0011	0.0434215	"9946"
"35"	"CSF2"	768.314	5e-05	0.00458449	"1437"
"36"	"CT83"	768.314	5e-05	0.00458449	"203413"
"37"	"CTRC"	768.314	5e-05	0.00458449	"11330"
"38"	"CTTNBP2"	4.23456	0.001	0.0408085	"83992"
"39"	"CYP2A6"	3.53863	0.00085	0.0368681	"1548"
"40"	"DCDC2B"	3.57387	0.00035	0.0192063	"149069"
"41"	"DEGS2"	3.71833	0.00085	0.0368681	"123099"
"42"	"DENND6B"	3.45547	0.00025	0.015028	"414918"
"44"	"EMX1"	768.314	5e-05	0.00458449	"2016"
"45"	"ENPP1"	4.61259	2e-04	0.0131104	"5167"
"46"	"ENPP7P13"	4.17256	0.0011	0.0434215	"104644205"
"47"	"ENTHD1"	3.36467	0.00065	0.0300848	"150350"
"49"	"FAM86B1"	768.314	6e-04	0.028499	"85002"
"50"	"FCER1A"	3.48398	0.00095	0.0397764	"2205"
"51"	"FLJ42351"	768.314	5e-05	0.00458449	"400999"
"52"	"FOXB1"	768.314	5e-05	0.00458449	"27023"
"53"	"GKN2"	768.314	5e-05	0.00458449	"200504"
"54"	"GOLT1A"	768.314	5e-05	0.00458449	"127845"
"55"	"GPR157"	5.70181	3e-04	0.0171106	"80045"
"56"	"GPR3"	768.314	5e-05	0.00458449	"2827"
"57"	"GPRIN2"	768.314	5e-05	0.00458449	"9721"
"58"	"GTPBP3"	4.05311	1e-04	0.00770585	"84705"
"59"	"GZMA"	5.04869	2e-04	0.0131104	"3001"
"60"	"GZMB"	3.88767	5e-05	0.00458449	"3002"
"61"	"HBA1"	8.59246	5e-05	0.00458449	"3039"
"62"	"HBA2"	8.84382	5e-05	0.00458449	"3040"
"63"	"HBB"	4.75841	0.00035	0.0192063	"3043"
"69"	"HOXA2"	3.65397	0.00015	0.0107577	"3199"
"71"	"HSD17B2"	768.314	5e-05	0.00458449	"3294"
"72"	"IDO2"	6.54652	1e-04	0.00770585	"169355"
"73"	"IFNG"	768.314	5e-05	0.00458449	"3458"
"74"	"IL22RA1"	4.96899	5e-05	0.00458449	"58985"
"75"	"IMP4"	3.75279	8e-04	0.0355509	"92856"
"76"	"IPW"	5.19158	5e-05	0.00458449	"3653"
"77"	"ITLN1"	768.314	5e-05	0.00458449	"55600"
"79"	"KIR3DX1"	5.14042	1e-04	0.00770585	"90011"
"80"	"KLK1"	3.86818	0.00025	0.015028	"3816"
"81"	"KLRB1"	4.39977	5e-05	0.00458449	"3820"
"82"	"KRT33A"	768.314	5e-05	0.00458449	"3883"
"83"	"KRT36"	3.34932	4e-04	0.0209199	"8689"
"84"	"KSR2"	5.7299	2e-04	0.0131104	"283455"
"86"	"LCE3D"	768.314	5e-05	0.00458449	"84648"
"87"	"LINC00324"	3.39089	0.00055	0.0265595	"284029"
"88"	"LINC00514"	4.21741	5e-05	0.00458449	"283875"
"89"	"LINC00622"	4.97324	5e-05	0.00458449	"644242"
"90"	"LINC00940"	5.28133	1e-04	0.00770585	"100271702"
"91"	"LINC01058"	768.314	5e-05	0.00458449	"103724387"
"93"	"LINC01419"	3.18644	0.001	0.0408085	"103352670"
"94"	"LINC01430"	768.314	5e-05	0.00458449	"101927242"
"95"	"LINC01465"	3.39721	6e-04	0.028499	"283416"
"96"	"LINC01526"	768.314	5e-05	0.00458449	"101928770"
"97"	"LIPN"	4.21728	2e-04	0.0131104	"643418"
"98"	"LOC100499489"	4.41473	0.001	0.0408085	"100499489"
"99"	"LOC100506403"	768.314	5e-05	0.00458449	"100506403"
"100"	"LOC100507002"	768.314	5e-05	0.00458449	"100507002"
"101"	"LOC100996583"	4.58511	5e-05	0.00458449	"100996583"
"102"	"LOC101927131"	4.6582	1e-04	0.00770585	"101927131"
"105"	"LOC101929767"	3.51541	0.00065	0.0300848	"101929767"
"106"	"LOC101929897"	768.314	5e-05	0.00458449	"101929897"
"109"	"LOC284412"	4.37382	5e-05	0.00458449	"284412"
"111"	"LOC729966"	3.57211	0.00015	0.0107577	"729966"
"113"	"LRRIQ3"	768.314	5e-05	0.00458449	"127255"
"114"	"LYG1"	768.314	5e-05	0.00458449	"129530"
"115"	"LZTS1"	4.79123	3e-04	0.0171106	"11178"
"116"	"MARC2"	3.70782	0.00025	0.015028	"54996"
"117"	"MBLAC1"	3.56593	9e-04	0.0380125	"255374"
"118"	"MEG3"	8.44467	5e-05	0.00458449	"55384"
"119"	"MEIKIN"	768.314	5e-05	0.00458449	"728637"
"120"	"MEIS1-AS3"	3.60479	0.00025	0.015028	"730198"
"121"	"METRN"	3.8211	5e-05	0.00458449	"79006"
"122"	"MGAT4EP"	3.18144	0.00045	0.0229548	"641515"
"123"	"MOCOS"	5.50449	1e-04	0.00770585	"55034"
"124"	"MPPED2"	3.94859	0.00025	0.015028	"744"
"125"	"MRGPRX3"	3.83849	2e-04	0.0131104	"117195"
"126"	"MSX2"	3.56165	0.00105	0.0421367	"4488"
"127"	"MZB1"	768.314	5e-05	0.00458449	"51237"
"128"	"NAP1L2"	3.22254	0.00035	0.0192063	"4674"
"129"	"NAT2"	768.314	5e-05	0.00458449	"10"
"131"	"NOXRED1"	768.314	5e-05	0.00458449	"122945"
"132"	"NT5M"	768.314	5e-05	0.00458449	"56953"
"133"	"OLFM4"	2.49847	5e-05	0.00458449	"10562"
"134"	"OR1F2P"	768.314	5e-05	0.00458449	"26184"
"135"	"OR1L3"	768.314	5e-05	0.00458449	"26735"
"136"	"OR2B11"	3.50596	0.00015	0.0107577	"127623"
"137"	"OR2B6"	768.314	5e-05	0.00458449	"26212"
"138"	"OR7E14P"	3.23378	0.00125	0.0472813	"10819"
"139"	"OR9A4"	768.314	5e-05	0.00458449	"130075"
"140"	"PCGEM1"	4.1128	5e-05	0.00458449	"64002"
"141"	"PCP4L1"	3.70892	1e-04	0.00770585	"654790"
"142"	"PDCD1"	3.53203	2e-04	0.0131104	"5133"
"143"	"PDXP"	4.74379	0.00025	0.015028	"57026"
"144"	"PGLYRP4"	3.61076	5e-04	0.0248918	"57115"
"145"	"PPBP"	768.314	5e-05	0.00458449	"5473"
"146"	"PPP1R16A"	3.48229	2e-04	0.0131104	"84988"
"147"	"PRADC1"	3.07844	0.00065	0.0300848	"84279"
"148"	"PVALB"	3.81247	1e-04	0.00770585	"5816"
"150"	"RAB38"	4.44212	0.00125	0.0472813	"23682"
"151"	"RDH16"	768.314	5e-05	0.00458449	"8608"
"152"	"RIMBP2"	768.314	5e-05	0.00458449	"23504"
"153"	"RINL"	3.86926	4e-04	0.0209199	"126432"
