"entrezids"	"logFC"	"pvalue"	"qvalue"
"8309"	-3.41172	6e-04	0.028499
"203102"	-3.40331	4e-04	0.0209199
"137872"	-3.74005	0.00035	0.0192063
"136"	-4.38031	1e-04	0.00770585
"152"	-797.519	5e-05	0.00458449
"57463"	-4.47175	1e-04	0.00770585
"728780"	-5.09639	5e-05	0.00458449
"253650"	-3.55482	3e-04	0.0171106
"51239"	-4.59026	0.0013	0.04829
"257629"	-4.02635	0.00015	0.0107577
"147495"	-2.79324	0.00125	0.0472813
"364"	-797.519	5e-05	0.00458449
"79642"	-3.76655	5e-05	0.00458449
"9532"	-4.39094	0.00025	0.015028
"55509"	-2.95741	0.0011	0.0434215
"255877"	-10.6465	2e-04	0.0131104
"497258"	-3.46865	8e-04	0.0355509
"57673"	-3.49051	0.0011	0.0434215
"96610"	-3.713	7e-04	0.0320915
"118663"	-3.0633	4e-04	0.0209199
"54718"	-4.66289	0.00015	0.0107577
"256815"	-2.99881	0.00065	0.0300848
"121053"	-3.80762	0.00025	0.015028
"255809"	-3.55966	0.00025	0.015028
"375444"	-797.519	5e-05	0.00458449
"762"	-3.40229	4e-04	0.0209199
"814"	-3.90318	0.00045	0.0229548
"820"	-797.519	5e-05	0.00458449
"827"	-797.519	5e-05	0.00458449
"440068"	-3.82953	0.00075	0.0339539
"9607"	-797.519	5e-05	0.00458449
"117144"	-5.26179	0.00055	0.0265595
"79820"	-2.87345	0.0013	0.04829
"29070"	-4.19509	0.00115	0.0447851
"643669"	-797.519	5e-05	0.00458449
"6357"	-797.519	5e-05	0.00458449
"1237"	-3.69721	1e-04	0.00770585
"909"	-4.26819	0.00025	0.015028
"53841"	-797.519	0.00035	0.0192063
"201161"	-3.06009	0.00055	0.0265595
"9023"	-797.519	5e-05	0.00458449
"728577"	-5.52253	5e-05	0.00458449
"1393"	-5.27844	1e-04	0.00770585
"90353"	-3.13171	6e-04	0.028499
"1573"	-797.519	5e-05	0.00458449
"1582"	-5.60564	5e-05	0.00458449
"1610"	-4.71858	0.00025	0.015028
"1805"	-797.519	5e-05	0.00458449
"56896"	-3.24223	5e-05	0.00458449
"503835"	-3.01533	0.00085	0.0368681
"10913"	-5.04427	5e-05	0.00458449
"2047"	-3.11769	0.00065	0.0300848
"440695"	-4.64132	5e-05	0.00458449
"2168"	-2.81563	0.001	0.0408085
"55138"	-4.50712	5e-05	0.00458449
"128486"	-8.20079	1e-04	0.00770585
"7976"	-3.23174	0.00075	0.0339539
"2584"	-3.63504	3e-04	0.0171106
"100329109"	-3.90468	0.0013	0.04829
"79833"	-3.42928	0.00035	0.0192063
"492303"	-5.57292	0.00015	0.0107577
"2731"	-3.11775	0.00055	0.0265595
"2738"	-3.405	0.00045	0.0229548
"2742"	-3.17315	0.00065	0.0300848
