"genes"	"logFC"	"p_value"	"q_value"	"entrezids"
"1"	"ACOX2"	-3.41172	6e-04	0.028499	"8309"
"3"	"ADAM32"	-3.40331	4e-04	0.0209199	"203102"
"4"	"ADHFE1"	-3.74005	0.00035	0.0192063	"137872"
"5"	"ADORA2B"	-4.38031	1e-04	0.00770585	"136"
"6"	"ADRA2C"	-797.519	5e-05	0.00458449	"152"
"7"	"AMIGO1"	-4.47175	1e-04	0.00770585	"57463"
"8"	"ANKDD1B"	-5.09639	5e-05	0.00458449	"728780"
"9"	"ANKRD18A"	-3.55482	3e-04	0.0171106	"253650"
"10"	"ANKRD39"	-4.59026	0.0013	0.04829	"51239"
"11"	"ANKS4B"	-4.02635	0.00015	0.0107577	"257629"
"12"	"APCDD1"	-2.79324	0.00125	0.0472813	"147495"
"13"	"AQP7"	-797.519	5e-05	0.00458449	"364"
"14"	"ARSJ"	-3.76655	5e-05	0.00458449	"79642"
"15"	"BAG2"	-4.39094	0.00025	0.015028	"9532"
"16"	"BATF3"	-2.95741	0.0011	0.0434215	"55509"
"17"	"BCL6B"	-10.6465	2e-04	0.0131104	"255877"
"18"	"BDNF-AS"	-3.46865	8e-04	0.0355509	"497258"
"19"	"BEND3"	-3.49051	0.0011	0.0434215	"57673"
"20"	"BMS1P20"	-3.713	7e-04	0.0320915	"96610"
"22"	"BTBD16"	-3.0633	4e-04	0.0209199	"118663"
"23"	"BTN2A3P"	-4.66289	0.00015	0.0107577	"54718"
"24"	"C10orf67"	-2.99881	0.00065	0.0300848	"256815"
"25"	"C12orf45"	-3.80762	0.00025	0.015028	"121053"
"26"	"C19orf38"	-3.55966	0.00025	0.015028	"255809"
"29"	"C5orf34"	-797.519	5e-05	0.00458449	"375444"
"30"	"CA4"	-3.40229	4e-04	0.0209199	"762"
"31"	"CAMK4"	-3.90318	0.00045	0.0229548	"814"
"32"	"CAMP"	-797.519	5e-05	0.00458449	"820"
"33"	"CAPN6"	-797.519	5e-05	0.00458449	"827"
"34"	"CARD17"	-3.82953	0.00075	0.0339539	"440068"
"35"	"CARTPT"	-797.519	5e-05	0.00458449	"9607"
"36"	"CATSPER1"	-5.26179	0.00055	0.0265595	"117144"
"37"	"CATSPERB"	-2.87345	0.0013	0.04829	"79820"
"38"	"CCDC113"	-4.19509	0.00115	0.0447851	"29070"
"39"	"CCER2"	-797.519	5e-05	0.00458449	"643669"
"40"	"CCL13"	-797.519	5e-05	0.00458449	"6357"
"41"	"CCR8"	-3.69721	1e-04	0.00770585	"1237"
"42"	"CD1A"	-4.26819	0.00025	0.015028	"909"
"43"	"CDHR5"	-797.519	0.00035	0.0192063	"53841"
"44"	"CENPV"	-3.06009	0.00055	0.0265595	"201161"
"45"	"CH25H"	-797.519	5e-05	0.00458449	"9023"
"47"	"CNTNAP3B"	-5.52253	5e-05	0.00458449	"728577"
"48"	"CRHBP"	-5.27844	1e-04	0.00770585	"1393"
"49"	"CTU1"	-3.13171	6e-04	0.028499	"90353"
"50"	"CYP2J2"	-797.519	5e-05	0.00458449	"1573"
"51"	"CYP8B1"	-5.60564	5e-05	0.00458449	"1582"
"52"	"DAO"	-4.71858	0.00025	0.015028	"1610"
"54"	"DPT"	-797.519	5e-05	0.00458449	"1805"
"55"	"DPYSL5"	-3.24223	5e-05	0.00458449	"56896"
"56"	"DUXA"	-3.01533	0.00085	0.0368681	"503835"
"57"	"EDAR"	-5.04427	5e-05	0.00458449	"10913"
"58"	"EPHB1"	-3.11769	0.00065	0.0300848	"2047"
"59"	"ETV3L"	-4.64132	5e-05	0.00458449	"440695"
"60"	"FABP1"	-2.81563	0.001	0.0408085	"2168"
"62"	"FAM90A1"	-4.50712	5e-05	0.00458449	"55138"
"63"	"FITM2"	-8.20079	1e-04	0.00770585	"128486"
"64"	"FZD3"	-3.23174	0.00075	0.0339539	"7976"
"65"	"GALK1"	-3.63504	3e-04	0.0171106	"2584"
"66"	"GCSHP3"	-3.90468	0.0013	0.04829	"100329109"
"67"	"GEMIN6"	-3.42928	0.00035	0.0192063	"79833"
"68"	"GEMIN8P4"	-5.57292	0.00015	0.0107577	"492303"
"69"	"GLDC"	-3.11775	0.00055	0.0265595	"2731"
"70"	"GLI4"	-3.405	0.00045	0.0229548	"2738"
"71"	"GLRA2"	-3.17315	0.00065	0.0300848	"2742"
"72"	"GPR4"	-4.45073	3e-04	0.0171106	"2828"
"73"	"HCAR1"	-4.75581	5e-05	0.00458449	"27198"
"74"	"HGD"	-3.04894	0.00055	0.0265595	"3081"
"78"	"HNF4G"	-4.28747	5e-05	0.00458449	"3174"
"79"	"HOXA13"	-5.25493	5e-05	0.00458449	"3209"
"80"	"HOXB4"	-3.38143	9e-04	0.0380125	"3214"
"81"	"HTR1D"	-3.96835	0.00025	0.015028	"3352"
"82"	"IGDCC4"	-3.40433	7e-04	0.0320915	"57722"
"83"	"IGLON5"	-4.05265	0.00015	0.0107577	"402665"
"84"	"IGSF5"	-3.1861	6e-04	0.028499	"150084"
"85"	"IQCD"	-3.3087	0.00095	0.0397764	"115811"
"86"	"IRX1"	-3.9179	0.00135	0.0497645	"79192"
"87"	"KCNQ3"	-4.04792	0.00055	0.0265595	"3786"
"88"	"KIF26A"	-3.74129	0.00035	0.0192063	"26153"
"89"	"LGALS4"	-4.24985	5e-05	0.00458449	"3960"
"90"	"LINC00526"	-3.59057	8e-04	0.0355509	"147525"
"93"	"LINC00954"	-4.92699	2e-04	0.0131104	"400946"
"94"	"LINC01095"	-797.519	5e-05	0.00458449	"100505545"
"96"	"LINC01126"	-4.13757	2e-04	0.0131104	"100129726"
"97"	"LINGO3"	-3.66646	0.00025	0.015028	"645191"
"98"	"LIPJ"	-797.519	5e-05	0.00458449	"142910"
"100"	"LOC100506302"	-3.9523	1e-04	0.00770585	"100506302"
"101"	"LOC100507634"	-6.1154	5e-05	0.00458449	"100507634"
"102"	"LOC101409256"	-4.23411	1e-04	0.00770585	"101409256"
"104"	"LOC101927787"	-797.519	5e-05	0.00458449	"101927787"
"105"	"LOC101928858"	-8.38808	1e-04	0.00770585	"101928858"
"107"	"LOC145783"	-4.37062	0.00015	0.0107577	"145783"
"108"	"LOC284009"	-797.519	5e-05	0.00458449	"284009"
"110"	"LOC286359"	-8.99639	1e-04	0.00770585	"286359"
"111"	"LOC389765"	-3.90255	0.00045	0.0229548	"389765"
"112"	"LOC440910"	-3.55598	0.0013	0.04829	"440910"
"114"	"LOC728989"	-5.32978	1e-04	0.00770585	"728989"
"115"	"LOC729970"	-5.46125	5e-05	0.00458449	"729970"
"116"	"LPA"	-3.5951	1e-04	0.00770585	"4018"
"117"	"LRRC10"	-5.26442	5e-05	0.00458449	"376132"
"118"	"LRRC37A8P"	-3.5035	0.00035	0.0192063	"100533789"
"119"	"LSM7"	-4.52832	0.00015	0.0107577	"51690"
"120"	"MAATS1"	-3.03826	0.00115	0.0447851	"89876"
"121"	"METTL18"	-4.27979	3e-04	0.0171106	"92342"
"122"	"MFSD6L"	-4.60422	0.0013	0.04829	"162387"
"123"	"MIR3178"	-797.519	5e-05	0.00458449	"100422974"
"124"	"MIR573"	-797.519	5e-05	0.00458449	"693158"
"125"	"MRPL50"	-3.7655	0.0012	0.0462351	"54534"
"126"	"NEIL3"	-3.87604	0.001	0.0408085	"55247"
"127"	"NKD1"	-3.76305	8e-04	0.0355509	"85407"
"128"	"NR2E1"	-3.98458	0.00025	0.015028	"7101"
"129"	"NRTN"	-797.519	5e-05	0.00458449	"4902"
"130"	"NTNG2"	-3.53424	5e-04	0.0248918	"84628"
"131"	"NUDT11"	-797.519	5e-05	0.00458449	"55190"
"132"	"OR5AN1"	-797.519	5e-05	0.00458449	"390195"
"133"	"OR5L1"	-797.519	5e-05	0.00458449	"219437"
"134"	"OVCH2"	-797.519	5e-05	0.00458449	"341277"
"135"	"PAH"	-2.79912	0.00115	0.0447851	"5053"
"136"	"PCOLCE2"	-2.76092	0.00115	0.0447851	"26577"
"137"	"PDE11A"	-3.92254	0.001	0.0408085	"50940"
"138"	"PDE4C"	-3.75001	0.00105	0.0421367	"5143"
"139"	"PDE6A"	-3.79878	5e-04	0.0248918	"5145"
"140"	"PECR"	-3.74294	3e-04	0.0171106	"55825"
"141"	"PLLP"	-797.519	5e-05	0.00458449	"51090"
"143"	"PPP1R35"	-3.14686	0.00105	0.0421367	"221908"
"144"	"PRAMEF4"	-797.519	5e-05	0.00458449	"400735"
"145"	"PRELID2"	-3.73368	0.00065	0.0300848	"153768"
"147"	"PTGER1"	-797.519	5e-05	0.00458449	"5731"
"148"	"PTPRVP"	-4.59327	0.00015	0.0107577	"148713"
"149"	"PWARSN"	-5.54593	2e-04	0.0131104	"347746"
"151"	"RAD9B"	-5.08342	4e-04	0.0209199	"144715"
"152"	"RBM20"	-6.70566	5e-05	0.00458449	"282996"
"153"	"RECQL4"	-4.7306	5e-05	0.00458449	"9401"
"154"	"RNF208"	-797.519	5e-05	0.00458449	"727800"
"155"	"RNU5D-1"	-797.519	5e-05	0.00458449	"26830"
"156"	"RNVU1-19"	-8.81855	2e-04	0.0131104	"101954277"
"158"	"RUNX1T1"	-2.83997	5e-05	0.00458449	"862"
"159"	"SAXO2"	-797.519	5e-05	0.00458449	"283726"
"160"	"SHISA2"	-5.2674	5e-05	0.00458449	"387914"
"161"	"SIX5"	-3.23828	0.00055	0.0265595	"147912"
"162"	"SLC25A4"	-3.61946	0.0012	0.0462351	"291"
"163"	"SMTNL1"	-4.02328	1e-04	0.00770585	"219537"
"164"	"SNORA18"	-797.519	5e-05	0.00458449	"677805"
"166"	"SSTR2"	-3.70923	4e-04	0.0209199	"6752"
"167"	"SWSAP1"	-2.86369	0.00115	0.0447851	"126074"
"168"	"TAS2R4"	-797.519	5e-05	0.00458449	"50832"
"169"	"TDO2"	-3.34001	3e-04	0.0171106	"6999"
"170"	"TFAMP1"	-5.79482	4e-04	0.0209199	"260341"
"172"	"TNNC2"	-8.96915	1e-04	0.00770585	"7125"
"173"	"TPRG1-AS1"	-5.93909	5e-05	0.00458449	"100874043"
"174"	"UBE2QL1"	-797.519	5e-05	0.00458449	"134111"
"175"	"USP18"	-3.84052	9e-04	0.0380125	"11274"
"176"	"VCX"	-797.519	5e-05	0.00458449	"26609"
"177"	"VCX3A"	-797.519	5e-05	0.00458449	"51481"
"178"	"VCX3B"	-797.519	5e-05	0.00458449	"425054"
"179"	"VPREB3"	-797.519	5e-05	0.00458449	"29802"
"181"	"WIPF3"	-4.48561	5e-05	0.00458449	"644150"
"182"	"WNT11"	-797.519	5e-05	0.00458449	"7481"
"183"	"WNT7A"	-3.10175	0.00025	0.015028	"7476"
"184"	"XKR9"	-3.76733	0.00095	0.0397764	"389668"
"185"	"XPNPEP2"	-4.60871	0.00105	0.0421367	"7512"
"186"	"ZDHHC15"	-4.15596	0.00015	0.0107577	"158866"
"187"	"ZNF383"	-3.33578	4e-04	0.0209199	"163087"
"188"	"ZNF443"	-4.51448	5e-05	0.00458449	"10224"
"189"	"ZNF461"	-3.67332	9e-04	0.0380125	"92283"
"190"	"ZNF561-AS1"	-3.74917	5e-04	0.0248918	"284385"
"191"	"ZNF57"	-3.3769	0.00075	0.0339539	"126295"
"192"	"ZNF614"	-4.56189	4e-04	0.0209199	"80110"
"193"	"ZNF676"	-3.84984	5e-05	0.00458449	"163223"
"194"	"ZNF699"	-3.55933	0.00015	0.0107577	"374879"
"195"	"ZNF883"	-797.519	5e-05	0.00458449	"169834"
